date,cpi
2024-05-01,0.97
2024-05-02,0.97
2024-05-03,0.97
2024-05-04,0.24
2024-05-05,0.24
2024-05-06,0.24
2024-05-07,0.24
2024-05-08,1.05
2024-05-09,1.05
2024-05-10,1.05
2024-05-11,0.52
2024-05-12,2.24
2024-05-13,2.563333333333333
2024-05-14,6.172727272727273
2024-05-15,2.486666666666667
2024-05-16,4.0888
2024-05-17,5.341481481481481
2024-05-18,3.761851814814815
2024-05-19,3.40939998
2024-05-20,3.925
2024-05-21,4.616000033333333
2024-05-22,3.3821212121212123
2024-05-23,5.8075
2024-05-24,2.5316666111111115
2024-05-25,2.8627778055555555
2024-05-26,3.135609756097561
2024-05-27,4.2144
2024-05-28,4.0684
2024-05-29,4.209130434782609
2024-05-30,3.8916
2024-05-31,3.2106060909090908
2024-06-01,5.339
2024-06-02,3.203888861111112
2024-06-03,3.294864891891892
2024-06-04,9.62
2024-06-05,3.2549999666666665
2024-06-06,3.1111764705882354
2024-06-07,5.140689655172414
2024-06-08,4.005373134328359
2024-06-09,4.751730769230769
2024-06-10,3.9910869565217393
2024-06-11,3.29499998
2024-06-12,4.869166666666667
2024-06-13,5.269166666666667
2024-06-14,4.188139511627907
2024-06-15,4.643
2024-06-16,3.6490277916666662
2024-06-17,4.22595744680851
2024-06-18,5.652857142857143
2024-06-19,12.06
2024-06-20,3.851428571428571
2024-06-21,3.221
2024-06-22,9.937777666666667
2024-06-23,5.190434782608696
2024-06-24,6.343157894736842
2024-06-25,4.521923076923077
2024-06-26,5.912105263157895
2024-06-27,4.3917241379310346
2024-06-28,5.09600004
2024-06-29,4.737916708333334
2024-06-30,4.944827586206896
2024-07-01,5.5773913043478265
2024-07-02,4.902258064516129
2024-07-03,3.6582608695652175
2024-07-04,3.931063829787234
2024-07-05,4.834242424242424
2024-07-06,4.79054054054054
2024-07-07,4.59
2024-07-08,5.584117647058824
2024-07-09,5.691111138888889
2024-07-10,4.70093023255814
2024-07-11,6.133793103448276
2024-07-12,4.545897435897436
2024-07-13,3.7545945945945935
2024-07-14,3.16
2024-07-15,5.973
2024-07-16,4.115
2024-07-17,4.32375
2024-07-18,2.9569999666666664
2024-07-19,4.544
2024-07-20,3.263214285714286
2024-07-21,2.8890909393939395
2024-07-22,2.976451612903225
2024-07-23,5.47
2024-07-24,6.93083325
2024-07-25,4.147391304347826
2024-07-26,4.14736847368421
2024-07-27,4.467499999999999
2024-07-28,6.9
2024-07-29,4.851578947368421
2024-07-30,7.447647058823529
2024-07-31,4.016666666666667
2024-08-01,4.911538423076923
2024-08-02,3.6593333333333335
2024-08-03,4.042
2024-08-04,4.447142857142857
2024-08-05,3.435
2024-08-06,5.357142857142857
2024-08-07,6.15
2024-08-08,12.896666666666668
2024-08-09,8.7531249375
2024-08-10,12.368333416666667
2024-08-11,7.4495455
2024-08-12,9.59449995
2024-08-13,9.159130478260868
2024-08-14,8.15824995
2024-08-15,11.64896551724138
2024-08-16,11.203793103448277
2024-08-17,9.471802884615386
2024-08-18,9.174375
2024-08-19,9.76923076923077
2024-08-20,5.255294117647059
2024-08-21,7.759166616161616
2024-08-22,7.008333277777777
2024-08-23,4.6755
2024-08-24,8.509999954545455
2024-08-25,11.937272681818182
2024-08-26,8.509999954545455
